level_0,level_1,level_2,correct_data
0,0,0,-5.138198033986769e-06
0,0,1,-3.5960351478183284e-06
0,0,2,-2.514394728855989e-06
0,0,3,-2.4457882682980147e-06
0,0,4,-2.980561702164343e-06
0,0,5,-3.146997597978414e-06
0,0,6,-2.3801696797788276e-06
0,0,7,-9.831287717202773e-07
0,0,8,1.792065317532613e-07
0,0,9,5.525226325085265e-07
0,0,10,3.0585945752245723e-07
0,0,11,1.192194435618979e-07
0,0,12,4.323832009360251e-07
0,0,13,1.0858404655577123e-06
0,0,14,1.4680741733654276e-06
0,0,15,1.1796888605458862e-06
0,0,16,3.3990218577760727e-07
0,0,17,-5.419392517789061e-07
0,0,18,-1.1689319936993174e-06
0,0,19,-1.7254195229445695e-06
0,0,20,-2.7547205219283027e-06
0,0,21,-4.520998913059925e-06
0,0,22,-6.668883824443575e-06
0,0,23,-8.28642745160762e-06
0,0,24,-8.658284188511358e-06
0,1,0,2.1358484764220893e-06
0,1,1,2.4491024670406607e-06
0,1,2,2.135778263430066e-06
0,1,3,8.125965117083806e-07
0,1,4,-4.919435542069578e-07
0,1,5,5.175543796936934e-07
0,1,6,5.346796831510726e-06
0,1,7,1.3034923370982307e-05
0,1,8,2.0134757805761062e-05
0,1,9,2.3202937500315713e-05
0,1,10,2.120613384926518e-05
0,1,11,1.6395747905906255e-05
0,1,12,1.2344136668840594e-05
0,1,13,1.1507696934624713e-05
0,1,14,1.354374710163097e-05
0,1,15,1.6109890078900603e-05
0,1,16,1.6485405167347266e-05
0,1,17,1.3494753712710045e-05
0,1,18,7.798626873202648e-06
0,1,19,1.4682032306655323e-06
0,1,20,-3.402141788447525e-06
0,1,21,-5.494115330307599e-06
0,1,22,-5.024070271533097e-06
0,1,23,-3.29923246140845e-06
0,1,24,-2.2255648550195965e-06
1,0,0,-1.8675993765998535e-05
1,0,1,-1.7614860815776297e-05
1,0,2,-1.6072731762811266e-05
1,0,3,-1.4738353130699738e-05
1,0,4,-1.4110689727376245e-05
