level_0,level_1,level_2,correct_data
0,0,0,-7.815349206836508e-06
0,0,1,-8.630274661662423e-06
0,0,2,-1.0290056678597726e-05
0,0,3,-1.1730890575744441e-05
0,0,4,-1.2182679528997158e-05
0,0,5,-1.1404924031792937e-05
0,0,6,-9.743348491279011e-06
0,0,7,-7.556042804752181e-06
0,0,8,-5.177024727181899e-06
0,0,9,-2.715299201088293e-06
0,0,10,-3.07607074355323e-07
0,0,11,2.089472431392929e-06
0,0,12,4.361503371418503e-06
0,0,13,6.219105945905385e-06
0,0,14,6.83664339886633e-06
0,0,15,5.49058430802482e-06
0,0,16,2.070078184184386e-06
0,0,17,-2.1510792387228155e-06
0,0,18,-5.350678191157849e-06
0,0,19,-6.330788986564262e-06
0,0,20,-5.933149893470478e-06
0,0,21,-6.354586461487582e-06
0,0,22,-9.547991936810192e-06
0,0,23,-1.5067834689827032e-05
0,0,24,-2.0341108332348735e-05
0,1,0,2.2581098501149165e-07
0,1,1,-1.5687225192795717e-07
0,1,2,-1.366408762248503e-06
0,1,3,-3.1174786736999248e-06
0,1,4,-3.998160960241756e-06
0,1,5,-2.0075660658148644e-06
0,1,6,3.5409244974421254e-06
0,1,7,1.0978862865047346e-05
0,1,8,1.6841995489757437e-05
0,1,9,1.8430009642504295e-05
0,1,10,1.5671034868095586e-05
0,1,11,1.1277813777974823e-05
0,1,12,8.430789001186026e-06
0,1,13,8.660074074111118e-06
0,1,14,1.0853630535917437e-05
0,1,15,1.2645241992849734e-05
0,1,16,1.2033697018669126e-05
0,1,17,8.788066174005211e-06
0,1,18,4.018791574566312e-06
0,1,19,-5.88897509850082e-07
0,1,20,-3.925341356364508e-06
0,1,21,-5.548760319389555e-06
0,1,22,-5.831783797064367e-06
0,1,23,-5.4058510509725805e-06
0,1,24,-5.203969053820245e-06
0,2,0,-3.745879859136489e-06
0,2,1,-9.27392188891093e-06
0,2,2,-1.3288649113493397e-05
0,2,3,-1.3614617840232218e-05
0,2,4,-1.0717268901855033e-05
0,2,5,-6.749812119404778e-06
0,2,6,-3.6586745954479954e-06
0,2,7,-1.8549091968369174e-06
0,2,8,-6.947703799443095e-07
0,2,9,4.5990446554703763e-07
0,2,10,1.5707533982415255e-06
0,2,11,2.4727544228095284e-06
0,2,12,3.36606067789902e-06
0,2,13,4.770691956003262e-06
0,2,14,6.568079795771535e-06
0,2,15,7.707841110718861e-06
0,2,16,6.806373231952982e-06
0,2,17,3.644340958734466e-06
0,2,18,-4.988608526885729e-07
0,2,19,-3.7826761963291264e-06
0,2,20,-5.65609379252186e-06
0,2,21,-7.320250115239993e-06
0,2,22,-1.0589620227165447e-05
