level_0,level_1,level_2,incorr4_data
0,0,0,4.3044916042388553e-07
0,0,1,1.0631739473128998e-06
0,0,2,1.8052962601159138e-06
0,0,3,2.085362060976487e-06
0,0,4,1.6049784119749947e-06
0,0,5,6.167578340909678e-07
0,0,6,-3.418742204314796e-07
0,0,7,-8.367569659725868e-07
0,0,8,-9.675556756087025e-07
0,0,9,-1.233062466965289e-06
0,0,10,-2.1966634776528134e-06
0,0,11,-3.959449227178643e-06
0,0,12,-6.135577223654123e-06
0,0,13,-8.028552958003101e-06
0,0,14,-9.145750800456862e-06
0,0,15,-9.319141966156912e-06
0,0,16,-8.726853541684947e-06
0,0,17,-7.543250943480072e-06
0,0,18,-5.93393751589395e-06
0,0,19,-4.0270246845273245e-06
0,0,20,-2.1688664087693785e-06
0,0,21,-7.68782149494406e-07
0,0,22,-1.8365381311831154e-07
0,0,23,-3.5693497543254357e-07
0,0,24,-9.447312690813095e-07
0,1,0,-8.991871570581517e-06
0,1,1,-1.1928978524742325e-05
0,1,2,-1.151141713180828e-05
0,1,3,-7.855745324112403e-06
0,1,4,-3.448290277898911e-06
0,1,5,-1.645346516813658e-06
0,1,6,-4.6481757418912004e-06
0,1,7,-1.1023598363509002e-05
0,1,8,-1.650441142411025e-05
0,1,9,-1.662735764732372e-05
0,1,10,-1.0789380191247985e-05
0,1,11,-2.6591451783746688e-06
0,1,12,2.1941592749036363e-06
0,1,13,1.1962660388231802e-06
0,1,14,-3.7156613515229716e-06
0,1,15,-7.575425228529425e-06
0,1,16,-7.049201044987156e-06
0,1,17,-2.370853907308692e-06
0,1,18,3.090428845674601e-06
0,1,19,6.551207577408589e-06
0,1,20,7.290530738326246e-06
0,1,21,6.813577157694132e-06
0,1,22,6.1913961885146215e-06
0,1,23,5.522761503457262e-06
0,1,24,3.875660389438798e-06
1,0,0,2.82518526208863e-06
1,0,1,1.6094289334149682e-06
1,0,2,4.461479487051182e-07
1,0,3,6.311231666953261e-08
1,0,4,9.02012666100359e-07
1,0,5,2.638603694532214e-06
1,0,6,4.264846274850461e-06
1,0,7,4.823359703574101e-06
1,0,8,4.166361821500387e-06
1,0,9,3.07897867100654e-06
1,0,10,2.5927744377259076e-06
1,0,11,3.1108102584471585e-06
1,0,12,4.051014972330293e-06
1,0,13,4.401506586977378e-06
1,0,14,3.580647224830794e-06
1,0,15,1.8271914358926588e-06
1,0,16,-1.5145042423806782e-07
1,0,17,-1.8085473399253162e-06
1,0,18,-3.0613162836349195e-06
1,0,19,-4.006732766034755e-06
1,0,20,-4.5774155978473355e-06
1,0,21,-4.525941834938776e-06
1,0,22,-3.7468901258662726e-06
1,0,23,-2.524991069885303e-06
1,0,24,-1.3328262155819397e-06
1,1,0,-3.6356339565520337e-07
1,1,1,-5.16843691428191e-06
1,1,2,-1.0700497091708659e-05
1,1,3,-1.4153060539578055e-05
1,1,4,-1.4805954053900448e-05
1,1,5,-1.393807927193983e-05
1,1,6,-1.267155185597467e-05
1,1,7,-1.0934191395013649e-05
1,1,8,-7.634280450547566e-06
1,1,9,-2.5017371090038616e-06
1,1,10,3.3433938868057927e-06
1,1,11,7.864073385321696e-06
1,1,12,1.0050375717278578e-05
1,1,13,1.0530449228582145e-05
1,1,14,1.1224748035516558e-05
1,1,15,1.3298336323605271e-05
1,1,16,1.6403016587671136e-05
1,1,17,1.859769864013714e-05
1,1,18,1.822192307240401e-05
1,1,19,1.4883649640845499e-05
1,1,20,1.0056787291223737e-05
1,1,21,5.547065385038075e-06
1,1,22,2.7103906581096816e-06
1,1,23,1.5234131978646487e-06
1,1,24,1.4840033366580522e-06
2,0,0,5.537523330282766e-06
2,0,1,7.298628151675732e-06
2,0,2,8.18735510087356e-06
2,0,3,7.750671035852968e-06
2,0,4,6.046810539438359e-06
2,0,5,3.650729249614912e-06
2,0,6,1.476211877330802e-06
2,0,7,2.359418466455019e-07
2,0,8,1.386622691569233e-07
2,0,9,8.471984200518807e-07
2,0,10,1.9347604681562325e-06
2,0,11,3.2065789605772706e-06
2,0,12,4.815698120092199e-06
2,0,13,6.8570364531712435e-06
2,0,14,9.098841245827691e-06
2,0,15,1.0894340974566949e-05
2,0,16,1.1659308248477922e-05
2,0,17,1.1225143847616668e-05
2,0,18,1.002582518073097e-05
2,0,19,8.678894066356405e-06
2,0,20,7.609997669244149e-06
2,0,21,6.72678444080851e-06
2,0,22,5.7374248117430095e-06
2,0,23,4.421228434182381e-06
2,0,24,2.990451183900906e-06
2,1,0,2.128953960783093e-06
2,1,1,-2.458688359441248e-06
2,1,2,-7.129398106197238e-06
2,1,3,-1.033972600399108e-05
2,1,4,-1.0719767465736975e-05
2,1,5,-7.878428849908393e-06
2,1,6,-3.066923136655958e-06
2,1,7,1.206010001405291e-06
2,1,8,2.9719331439011075e-06
2,1,9,2.5627547456571602e-06
2,1,10,2.623261246280446e-06
2,1,11,5.782895545732535e-06
2,1,12,1.1984106273619176e-05
2,1,13,1.790528357865711e-05
2,1,14,1.9458899913674587e-05
2,1,15,1.5151521300360874e-05
2,1,16,7.445194316444087e-06
2,1,17,8.188490150278286e-07
2,1,18,-1.549407375373894e-06
2,1,19,3.0151721142834314e-07
2,1,20,4.05173165416597e-06
2,1,21,7.3710901422309135e-06
2,1,22,9.411059140066564e-06
2,1,23,1.040124640932301e-05
2,1,24,1.0563452245216103e-05
3,0,0,7.575576659399527e-07
3,0,1,1.1187151524873378e-06
3,0,2,1.724601705296549e-06
3,0,3,1.9969666325035185e-06
3,0,4,1.3573955786701561e-06
3,0,5,-1.9740557785034338e-07
3,0,6,-2.0729863844861106e-06
3,0,7,-3.435440572762907e-06
3,0,8,-3.855603120582783e-06
3,0,9,-3.461559078199737e-06
3,0,10,-2.7430811723594536e-06
3,0,11,-2.008385884351259e-06
3,0,12,-1.3109736951073434e-06
3,0,13,-5.720116945411423e-07
3,0,14,5.9188483619204e-08
3,0,15,3.4020638902251575e-07
3,0,16,1.456559424572578e-07
3,0,17,-2.0230689034596802e-07
3,0,18,-2.0634588816462472e-07
3,0,19,4.864733072921613e-07
3,0,20,1.6444977763453163e-06
3,0,21,2.6759924765824145e-06
3,0,22,2.941346290927883e-06
3,0,23,2.268269633680874e-06
3,0,24,8.851012485151829e-07
3,1,0,-6.7373520418048194e-06
3,1,1,-6.291690172550307e-06
